index,date,open,high,low,close,adj close,volume,closeusd
N100,2016-09-12,869.02002,873.840027,863.23999,873.840027,873.840027,2.011991E8,1066.0848329399998
N100,2016-09-20,866.909973,873.48999,866.080017,868.619995,868.619995,1.563519E8,1059.7163939
N100,2016-10-05,883.390015,888.799988,879.330017,887.140015,887.140015,2.259646E8,1082.3108183
N100,2016-11-18,876.51001,877.580017,868.580017,870.159973,870.159973,2.238962E8,1061.59516706
N100,2016-12-12,914.73999,916.469971,912.119995,913.26001,913.26001,2.147433E8,1114.1772122
N100,2016-12-22,928.049988,930.219971,926.049988,928.880005,928.880005,1.314041E8,1133.2336060999999
N100,2017-07-18,1007.530029,1009.590027,998.070007,999.909973,999.909973,0.0,1219.89016706
N100,2017-08-04,999.169983,1014.059998,998.440002,1012.150024,1012.150024,0.0,1234.82302928
N100,2017-11-02,1071.01001,1072.420044,1065.170044,1069.439941,1069.439941,1.793933E8,1304.7167280200001
N100,2017-11-24,1040.48999,1047.449951,1040.349976,1041.77002,1041.77002,1.336063E8,1270.9594244
N100,2018-06-01,1056.189941,1063.280029,1056.189941,1059.77002,1059.77002,2.217296E8,1292.9194243999998
N100,2018-06-29,1046.609985,1050.660034,1044.180054,1044.810059,1044.810059,2.246713E8,1274.6682719799999
N100,2019-02-04,978.359985,979.390015,973.140015,978.390015,978.390015,1.666301E8,1193.6358183
N100,2019-03-22,1048.0,1048.72998,1025.660034,1026.780029,1026.780029,2.218133E8,1252.67163538
N100,2019-04-26,1079.709961,1082.77002,1077.069946,1081.939941,1081.939941,1.757994E8,1319.9667280200001
N100,2019-05-27,1042.689941,1046.189941,1039.400024,1041.579956,1041.579956,9.49818E7,1270.72754632
N100,2019-09-06,1081.75,1084.48999,1078.869995,1082.530029,1082.530029,1.888582E8,1320.68663538
N100,2019-10-28,1098.369995,1102.410034,1096.130005,1099.329956,1099.329956,1.64913E8,1341.18254632
N100,2019-11-04,1108.27002,1116.420044,1108.069946,1114.0,1114.0,2.151722E8,1359.08
N100,2020-01-08,1148.550049,1155.72998,1145.810059,1155.380005,1155.380005,1.745512E8,1409.5636061
N100,2020-02-11,1166.099976,1169.0,1164.160034,1167.969971,1167.969971,2.067194E8,1424.92336462
N100,2020-03-18,757.190002,759.320007,728.400024,733.929993,733.929993,5.36232E8,895.3945914599999
N100,2020-04-20,888.820007,889.330017,871.669983,889.150024,889.150024,2.352139E8,1084.76302928
N100,2020-08-04,977.039978,980.159973,967.0,973.299988,973.299988,2.16172E8,1187.42598536
N100,2020-09-11,985.969971,991.75,981.98999,988.059998,988.059998,1.802984E8,1205.4331975599998
N100,2020-11-04,955.090027,989.659973,953.590027,989.630005,989.630005,2.932252E8,1207.3486060999999
N100,2020-12-21,1078.599976,1082.680054,1060.430054,1075.849976,1075.849976,3.031549E8,1312.53697072
N100,2020-12-24,1101.390015,1102.060059,1099.219971,1100.23999,1100.23999,4.88203E7,1342.2927878
